SatID,start_time,end_time,encoded_strip_id,gsID,operation,camera_memory_value_endofTW,delta_camera_memory_value_in_this_TW,SSD_memory_value_endofTW,delta_SSD_memory_value_in_this_TW,global_priority,local_priority,mean_global_priority,mean_local_priority,StripID,AoiID,base_time
FF03,155862.0,155884.0,,SVALBARD01,downlinking_from_Readout,440.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,157795.0,158347.0,,SVALBARD01,downlinking_from_Readout,656.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,159732.0,160312.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,161667.0,162271.0,,SVALBARD01,downlinking_from_Readout,664.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,163400.0,163525.0,,AWARUA01,downlinking_from_Readout,846.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,163598.0,164219.0,,SVALBARD01,downlinking_from_Readout,999.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,165181.0,165651.0,,AWARUA01,downlinking_from_Readout,664.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,165532.0,165651.0,,SVALBARD01,downlinking_from_Readout,846.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,167058.0,167651.0,,AWARUA01,downlinking_from_Readout,999.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,167464.0,167651.0,,SVALBARD01,downlinking_from_Readout,664.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,168967.0,169611.0,,AWARUA01,downlinking_from_Readout,958.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,169392.0,169611.0,,SVALBARD01,downlinking_from_Readout,999.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,170892.0,171538.0,,AWARUA01,downlinking_from_Readout,888.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,171322.0,171538.0,,SVALBARD01,downlinking_from_Readout,958.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,172416.0,172815.0,,JEJU01,downlinking_from_Readout,888.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,173250.0,173894.0,,SVALBARD01,downlinking_from_Readout,888.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,176766.0,177105.0,,AWARUA01,downlinking_from_Readout,1000.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
